evaluations raw_y
1 6.2077784290
2 6.3413927578
3 6.3525504265
5 55.1359169515
10 82.8832324390
13 84.0340133554
25 91.5516703363
35 94.3876713485
42 99.9852910278
106 65.7721924419
evaluations raw_y
1 88.2840258845
11 94.9338364056
16 95.7212569022
27 98.9586164324
106 74.3277656716
evaluations raw_y
1 44.2460894943
3 46.7230115711
5 72.8155501735
6 82.8084767480
32 86.5942931663
38 89.2182585422
40 92.7631448914
62 96.3418279505
81 96.5887851323
101 96.8180388884
105 97.7572275940
106 24.6434324200
evaluations raw_y
1 66.8066231433
2 88.9388663228
22 98.1510915229
29 98.6864629768
106 74.7359191306
evaluations raw_y
1 11.2043754747
2 24.4432967449
3 89.4924858244
25 98.5200534743
39 98.7478205288
65 99.1990894458
106 19.1598880053
evaluations raw_y
1 84.8179974118
5 86.8922701821
8 98.5771763793
63 99.8875784371
106 96.7169019068
evaluations raw_y
1 80.0863273682
5 92.4025378287
13 97.6742560044
89 97.8581740340
106 63.0311975253
evaluations raw_y
1 64.8412168388
4 94.7798101177
21 95.0358967355
49 95.8124451997
51 96.7622099517
97 99.3211932605
106 50.8275990205
evaluations raw_y
1 17.7369689300
2 54.9935117572
10 58.3886703465
14 81.2521868785
19 98.4247583022
106 44.4920149234
evaluations raw_y
1 95.6622140316
92 99.6945146419
106 65.6885429092
